16,30,64,128,192,256,384,448,512
id,func_name,self_time1,self_time2,self_time3,self_time4,self_time5,self_time6,self_time7,self_time8,self_time9
0,m_mpif90_typedp__,270,490,660,550,580,670,410,800,230
1,m_string_str2ch0__,3090,3490,3390,3540,3630,3390,3470,3270,3070
2,m_string_ch12ch0__,3390,7410,9210,5670,3650,3160,10220,2830,2840
3,m_string_initc__,9790,11880,9490,11140,10820,10750,10390,9380,11560
4,m_string_clean__,3400,4030,4010,4190,4430,4350,11000,3600,3660
5,m_list_init__,7940,8990,8010,8900,8460,7960,7360,8150,7540
6,m_list_clean__,2030,970,1540,1400,1240,1060,1000,1120,990
7,m_list_nitem__,6500,7070,6590,11960,7050,7140,6160,5990,5100
8,m_list_index__,4430,4030,4800,5190,4790,4760,5050,4710,4690
9,m_list_indexstr__,5730,6050,6060,6530,6450,5770,11370,6150,5950
10,m_list_get__,6690,6930,6790,7850,7560,6820,7400,6800,6920
11,m_list_getall__,5630,5660,6580,5590,5350,6170,5190,3870,4560
12,m_list_getsharedlistindices__,7520,7160,8380,7730,8100,7940,7670,7860,7050
13,m_permuter_permuted__,2400120,1303010,737840,431630,289650,272550,165540,188370,142230
14,m_permuter_permutedo__,2678470,1356170,734980,379730,261100,219770,125470,153480,95360
15,m_permuter_unpermuted__,1985780,1077140,952770,396800,248910,239120,143900,166700,108050
16,m_permuter_unpermutedo__,4701620,2291400,2085280,1599120,425240,344890,194680,245480,128960
17,m_attrvect_init__,8320,8760,5960,6100,5830,6180,5500,5120,4940
18,m_attrvect_initv__,3000,3850,3060,3150,3840,3150,2970,2970,3480
19,m_attrvect_clean__,3750,3720,4350,2940,3200,2920,8780,2180,2060
20,m_attrvect_lsize__,52980,43090,85120,42340,46540,48090,33120,33520,35090
21,m_attrvect_rcopy__,977700,528880,276450,144310,112590,87990,53110,56000,55230
22,m_attrvect_icopy__,1880,2060,2530,2220,1970,1690,1700,1850,2270
23,m_attrvect_copy__,2550,2820,2710,2510,2820,2300,2510,2400,2230
24,m_attrvect_permute__,2956150,1534930,806340,424820,329240,291450,192920,223990,170130
25,m_attrvect_unpermute__,1363030,729970,1074060,366000,140950,137790,101860,104790,89170
26,m_attrvect_avavsharedattrindexlist__,4930,5050,5090,5740,5820,5280,5280,5130,5190
27,m_attrvect_sharedindicesonetype__,1960,1630,2110,2020,1920,1970,2070,2000,1690
28,m_attrvect_cleansharedindicesonetype__,2130,1360,1690,1330,1830,1340,1410,1350,1100
29,m_rearranger_rearrange__,3477910,1904620,2174530,1688060,175880,153970,154390,189580,212940
30,gptlstart_,4190,3800,4200,4030,3800,3790,4010,3760,3450
31,gptlstop_,4930,4030,5840,4930,4510,4900,4410,4460,3970
32,update_ll_hash,2300,1520,2370,8820,12010,6680,1500,5090,4640
33,update_parent_info,2750,2500,3210,2550,14030,2390,20240,2790,2140
34,update_ptr,2090,2120,2010,1890,1860,1860,2000,1990,1920
35,GPTLstart,9010,10470,9980,9620,10150,9960,9920,10050,9430
36,getentry,19540,17520,20650,18510,16440,27660,16540,36360,12390
37,update_stats,1380,1560,2130,1640,1900,1640,1900,1230,1520
38,GPTLstop,6820,6220,7080,6790,7180,6560,5860,6250,5280
39,utr_mpiwtime,4930,4820,4950,4560,4680,4960,4450,4580,4310
40,shr_mpi_mod_shr_mpi_chkerr_,4240,4360,3990,2430,3690,2750,3080,2540,2630
41,shr_mpi_mod_shr_mpi_bcastl0_,4010,3570,4220,4100,3860,4520,3840,4380,4490
42,shr_mpi_mod_shr_mpi_bcastr0_,5300,4100,3720,3770,4520,4270,4160,4060,3990
43,perf_mod_t_barrierf_,1080,1000,990,1040,1120,960,1170,1180,920
44,seq_comm_mct_seq_comm_setptrs_,3790,3440,2910,2550,2720,2550,2520,2600,2460
45,seq_infodata_mod_seq_infodata_exchange_,38150,35150,34150,31720,34190,33400,29930,35480,33470
46,map_ocnocn_mct_map_ccc2xxx_mct_,2620,1710,2450,2210,2230,5750,2130,3300,2090
47,map_ocnocn_mct_map_xxx2ccc_mct_,3290,1970,2040,1630,1930,1930,2490,1930,2060
48,ccsm_comp_mod_t_drvstartf_,18040,16090,17770,18160,16550,16400,20490,17030,17690
