16,30,64,128,192,256,384,448,512
id,func_name,self_time1,self_time2,self_time3,self_time4,self_time5,self_time6,self_time7,self_time8,self_time9
0,m_mpif90_typei__,800,1060,960,910,1160,1130,1190,1020,1680
1,m_mpif90_typedp__,3420,3460,3410,4590,4020,3640,4500,4580,4760
2,m_string_str2ch0__,125950,126170,134070,130670,124450,123200,123190,122510,138040
3,m_string_ch12ch0__,67390,68580,66680,78130,68590,72350,67720,70550,63340
4,m_string_initc__,260080,245950,264350,245800,237660,245890,252050,255110,244210
5,m_string_initc1__,13384720,6941870,2462120,2257150,2721470,4008450,2444480,1864470,1664070
6,m_string_clean__,2079420,1131520,598210,386900,283720,247190,258540,197220,195310
7,m_string_bcast__,11810,10000,12780,34600,10550,13850,14970,16700,620940
8,m_list_init__,27429940,24488770,824570,775430,16237730,2689140,35301950,725590,1206140
9,m_list_initstr__,20800,19530,26260,19630,18160,23160,25690,20450,21080
10,m_list_clean__,48010,40660,46310,41860,37360,46850,43350,40650,40640
11,m_list_nitem__,76410,72540,81410,69590,67910,66140,79090,67560,65180
12,m_list_index__,2449780,1430680,862050,549010,431050,388200,369110,373650,321430
13,m_list_indexstr__,114810,113460,122650,121040,120760,113030,118170,114080,120150
14,m_list_copy__,10880,258400,9870,25790,17910,8100,48530,10400,9110
15,m_list_exporttochar__,19360,18240,19630,17580,20360,17120,17230,16360,18720
16,m_list_charbuffersize__,1500,930,1010,780,820,860,960,1600,870
17,m_list_get__,176650,179260,176700,180670,168710,175190,185130,167730,175040
18,m_list_getall__,317070,59410,68670,74780,65140,62960,63730,63240,74330
19,m_list_identical__,15270,14870,15130,15320,14910,14500,14730,18260,14700
20,m_list_get_indices__,2960,2850,2580,2470,2460,2550,2590,2510,2420
21,m_list_concatenate__,13190,1011040,26000,8630,11760,8950,12120,19270,8520
22,m_list_bcast__,7030,7390,11440,8640,7180,7540,8480,8010,8290
23,m_list_getsharedlistindices__,119100,127380,142110,127540,119880,116060,120930,121370,131250
24,m_mergesorts_setn__,8640,8480,11160,6200,7350,14520,6740,11360,19070
25,m_mergesorts_set__,1058140,806930,697950,629570,765020,626150,873920,571630,609970
26,m_mergesorts_isortn__,6060,5660,6550,6880,5530,5960,6180,6220,5790
27,m_mergesorts_dsortn__,6550,6350,10630,8710,12340,197080,11100,12120,21260
28,m_mergesorts_isort__,23850,21790,22580,24940,20560,23040,23580,20410,19590
29,m_mergesorts_isort__mergesort_,31563460,19776370,11854150,8856550,11295040,8049980,14646130,6804510,7862720
30,m_mergesorts_isort__merge_,33596580,21019720,12382840,9232080,12199140,8386100,16704640,7423250,8460790
31,m_mergesorts_dsort__,131910,127890,127800,119840,134540,127540,138990,122850,96080
32,m_mergesorts_dsort__mergesort_,15419540,15407140,15529940,15515660,15445080,15537300,15451680,15480370,15293140
33,m_mergesorts_dsort__merge_,15440460,15363380,15573050,15821910,15681040,15672640,15719280,15381810,15466390
34,m_fccomms_fc_gather_int_,1068340,44300,38400,773860,332780,34860,356470,357380,1149040
35,m_fccomms_fc_gatherv_int_,16150920,47760,62380,49130,46880,51460,52880,51580,48870
36,m_permuter_permutei__,2088550,1385090,845570,636120,752420,1577360,943260,2880770,549990
37,m_permuter_permuteio__,2125370,1369340,852400,663350,748970,561750,966480,521180,535560
38,m_permuter_unpermutei__,23320,13960,7860,5750,10290,3470,2480,2750,2150
39,m_permuter_unpermuteio__,37880,22480,10070,6030,3740,3110,1840,2560,1430
40,m_permuter_permuted__,2219370,1318460,692160,351760,258420,221370,162880,162090,138740
41,m_permuter_permutedo__,2388920,1304490,638020,315940,204100,169290,107130,105700,79860
42,m_permuter_unpermuted__,358530,223700,115950,1314130,44140,35960,29340,26370,26150
43,m_permuter_unpermutedo__,769140,455300,188510,117920,59310,46480,26880,26660,564300
44,m_inpak90_i90_allloadf_,6110,5980,8280,7310,12580,8210,9730,9110,12030
45,m_inpak90_push__,6880,1237810,7610,9470,1399150,7840,13490,8340,10700
46,m_inpak90_pop__,3410,4240,4890,10670,8690,7560,8420,8660,7480
47,m_inpak90_i90_release_,1490,1260,1780,1760,2330,1830,2600,2920,2970
48,m_inpak90_i90_label_,35880,18590,35670,27450,19890,21830,21190,32880,2092660
49,m_inpak90_i90_gtoken_,475800,884280,12790,1187150,259650,14130,34940,15110,30940
50,m_inpak90_i90_trim_,11160,10390,26640,13140,11280,809110,14640,1388580,14060
51,m_traceback_gentracebackstring1_,11972920,10461520,2757150,2504430,11938750,2336180,6378080,1811040,3789690
52,m_traceback_gentracebackstring2_,3257150,161060,176050,159660,150900,172470,157660,544980,159470
53,m_mctworld_initm__,1514200,1620200,1225560,1745090,1967180,2187380,9148340,2070090,3311940
54,m_mctworld_initr__,20270,41410,16840,29820,27900,20730,37400,20170,18400
55,m_attrvect_init__,16333870,5059990,553390,578040,22219390,3081180,3578360,2351510,3462960
56,m_attrvect_initv__,38900,39700,40900,39330,41500,41200,42660,39360,45050
57,m_attrvect_initl__,1967290,19120,25650,20020,18720,18880,28040,19160,19700
58,m_attrvect_clean__,76350,65920,861580,140080,55900,57230,63090,54810,56370
59,m_attrvect_lsize__,134100,133290,136340,136820,124430,128320,128800,118910,122340
60,m_attrvect_zero__,20208720,10792240,5026840,2558090,1697480,1328260,865360,733550,618400
61,m_attrvect_indexia__,25030,23800,25010,24050,23290,25160,23830,24030,23770
62,m_attrvect_indexra__,7635930,4720710,1948110,1107990,727420,600900,439640,404350,563480
63,m_attrvect_exportrlisttochar__,2530,2420,2260,2570,2230,2330,2360,2390,2340
64,m_attrvect_exportrattrdp__,484570,267120,122060,66480,45410,37640,28770,27230,26850
65,m_attrvect_importiattr__,76300,41120,21950,9780,31720,5630,4340,3810,3300
66,m_attrvect_importrattrdp__,821310,444670,227750,128980,67890,553200,35810,34230,41170
67,m_attrvect_rcopy__,7334640,6359820,1883790,966310,681510,523760,390530,360450,259890
68,m_attrvect_rcopyl__,32480,18690,9470,5450,4300,3490,3020,2970,2590
69,m_attrvect_icopy__,1547160,835360,428410,234990,143630,132980,85340,76910,70250
70,m_attrvect_copy__,44700,142890,43190,41740,49690,55620,50130,44710,63240
71,m_attrvect_sort__,941150,529940,286010,183050,137650,116690,114900,80630,87430
72,m_attrvect_permute__,2025990,1307820,615650,377330,316800,294700,247520,253320,250160
73,m_attrvect_unpermute__,232310,136650,59800,45860,32730,28400,733160,25550,25730
74,m_attrvect_avavsharedattrindexlist__,79910,69860,73740,71820,66960,73130,81300,70570,74090
75,m_attrvect_sharedindicesonetype__,519780,23070,24010,39720,23460,1015530,23400,24560,37490
76,m_attrvect_cleansharedindicesonetype__,18950,16490,17400,15570,16350,15150,14930,15440,14010
77,m_globalmap_initr__,14280,27420,21880,30670,47990,45220,97250,66720,74820
78,m_globalmap_clean__,2330,2350,3170,3180,2750,3590,9020,4120,4060
79,m_globalsegmap_initd__,20017020,102200,176240,114890,131060,728750,109550,719200,1001860
80,m_globalsegmap_initr__,97860,960060,89560,196870,106510,116120,709580,73100,99370
81,m_globalsegmap_initp__,10082020,10870760,10460410,11108000,16755460,12288320,24160820,12031710,14110140
82,m_globalsegmap_init_index__,12708420,215270,861370,70040,72980,1315340,208850,1609810,679030
83,m_globalsegmap_clean__,42070,38770,40480,43940,43130,45000,62730,47480,50780
84,m_globalsegmap_nlseg__,2166060,2324860,2271430,2347630,3393310,2662330,4608020,2660460,3039580
85,m_globalsegmap_max_nlseg__,4336500,4729420,4708180,4751610,7473730,5602390,10557680,5496570,6539580
86,m_globalsegmap_comp_id__,6560,7790,8570,8020,7810,9080,11460,9900,8860
87,m_globalsegmap_processstorage__,2628840,2746930,2669460,2734000,3805300,3062060,5032760,3034000,3419980
88,m_globalsegmap_orderedpoints__,888570,787800,734410,636540,761890,680380,879660,693950,732650
89,m_globalsegmap_lsize__,1854290,1979160,1921890,2003450,2941820,2306090,3979000,2231600,2557200
90,m_globalsegmap_active_pes__,1899170,3051760,5585910,10532860,25518530,21628820,72680480,33214070,49054070
91,m_globalsegmap_increasing__,11768350,12707230,12180690,13000020,19978810,14570640,28121930,14275170,16832450
92,m_globalsegmap_copy__,20590,21650,21970,22580,23580,24980,29210,23780,24390
93,m_globalsegmapcomms_bcast__,2242190,3135990,1624600,2150550,3550290,2416060,4252020,1659470,1927080
94,m_attrvectcomms_gm_scatter__,458920,31430,95030,59340,49890,689560,79060,673270,727120
95,m_attrvectcomms_gsm_scatter__,1732530,2030220,2212380,791720,1662810,1467300,1335030,1743570,1729790
96,m_sparsematrix_init__,1840,1940,2160,1960,2140,3340,2530,2540,2750
97,m_sparsematrix_clean__,2180,1910,2710,1660,1820,1920,2880,1730,2410
98,m_sparsematrix_globalnumelements__,3130,2880,2930,4080,4440,3190,3530,4180,3600
99,m_sparsematrix_indexia__,40100,39750,1289470,42650,42750,44410,42200,1135000,44010
100,m_sparsematrix_indexra__,10610,9650,9940,11010,9530,11510,9160,9260,10790
101,m_sparsematrix_copy__,4890,5690,5610,4590,4920,5620,5380,5880,6660
102,m_sparsematrix_sort__,3520,2380,2540,2920,2970,2590,2690,3470,2940
103,m_sparsematrix_permute__,3200,2960,40520,2800,2750,913500,8810,84130,3660
104,m_sparsematrix_sortpermute__,4960,4580,5090,862480,5700,5880,7360,6660,902190
105,m_generalgrid_init__,12870670,2287750,54810,64920,78410,1975270,132740,59780,62540
106,m_generalgrid_initgg__,9320,15640,11620,9700,32530,10600,10830,10260,15480
107,m_generalgrid_clean__,2190,1810,2130,1900,2040,1680,1810,1680,1950
108,m_generalgrid_indexra__,8340,8850,8780,6530,6730,6430,5970,6380,5780
109,m_generalgrid_lsize__,8200,9110,7560,5530,5180,5700,5310,5180,5200
110,m_generalgrid_importiattr__,10880,14970,11930,18710,10670,685650,52480,19950,17040
111,m_generalgrid_importrattrdp__,24700,24110,10430,5610,5520,6450,37600,6360,5490
112,m_globaltolocal_globalsegmaptoindexarr__,930250,537230,302930,209450,189330,184430,174990,164210,161750
113,m_globaltolocal_globalsegmaptolocalmatrix__,1401990,841610,389240,220240,154600,123180,96200,65810,749260
114,m_router_initp__,675501550,432857550,301610550,314235460,689546700,553033720,1662381060,869916620,1164802700
115,m_rearranger_init__,2973270,4106190,3741620,3948300,2234720,2487780,2123070,2001250,3179240
116,m_rearranger_rearrange__,11945960,8452550,3195470,1869540,2779090,8614530,2237270,1213670,1469420
117,m_sparsematrixtomaps_sparsematrixtoxglobalsegmap__,307580,1018630,1055820,1114620,1230910,2181730,1131930,101980,1176430
118,m_sparsematrixtomaps_sparsematrixtoyglobalsegmap__,290170,160890,93840,50630,38520,34280,26380,23140,22700
119,m_sparsematrixtomaps_computesegments__,866780,487000,236300,123510,76690,76810,44590,39130,34210
120,m_sparsematrixplus_initdistributed__,189290,1034750,51380,1205860,1246220,1148660,1126730,530830,1291150
121,m_matattrvectmul_smatavmult_datalocal__,4766170,2553730,1238030,655190,311680,362790,154370,124910,115090
122,m_matattrvectmul_smatavmult_smplus__,25500,23330,29730,570460,818390,470030,110420,577360,481220
123,pio_support_checkmpireturn_,107960,117250,154220,148790,198840,194650,196330,174080,176630
124,alloc_mod_alloc_check_1d_long_,3330,2600,2730,3680,3740,3150,2970,2580,2740
125,alloc_mod_alloc_check_1d_int_,644590,1048070,26040,97210,590280,1140840,805450,771820,1444680
126,alloc_mod_alloc_check_1d_double_,18760,1052660,7200,11860,19320,22620,19610,6800,402500
127,alloc_mod_dealloc_check_1d_int_,2500,2460,2650,3500,3170,3170,3380,3020,2940
128,alloc_mod_dealloc_check_1d_double_,2110,2130,2040,2010,18040,37530,1970,1790,1800
129,pio_utils_check_netcdf_,345200,364360,392120,431550,429260,435360,439590,418490,465740
130,ionf_mod_open_nf_,64940,831490,62490,591030,33510,73940,938010,30070,51900
131,ionf_mod_close_nf_,5060,5540,5630,6040,5820,5950,5960,5870,5590
132,pionfread_mod_read_nfdarray_double_,21900,1490,9230,1870,1580,14800,1830,9020,6660
133,nf_mod_pio_inquire_,6840,6690,7270,7830,12810,8540,7480,7930,8080
134,nf_mod_inq_attlen_vid_,880,930,960,2150,1000,1050,1460,1020,1290
135,nf_mod_inq_varid_vid_,114540,103550,127580,128300,131050,132440,132930,132960,152390
136,nf_mod_inq_varid_vardesc_,58510,56440,61720,70430,107060,68730,66170,69340,66790
137,nf_mod_inq_varname_vid_,17470,22630,19790,23840,25160,21900,20840,20890,23160
138,nf_mod_inq_varndims_vid_,92380,89500,109170,114830,117080,120440,118910,114870,111250
139,nf_mod_inq_vardimid_vid_,23570,23230,28700,35190,32400,31250,37510,30070,33880
140,nf_mod_inq_vardimid_vdesc_,9450,9200,14380,14340,11640,18880,17070,11740,16550
141,nf_mod_pio_inq_dimid_,76000,769270,89030,106060,94910,109020,125750,95580,105010
142,nf_mod_pio_inq_dimlen_,49400,50310,89310,63340,72590,108270,65610,80970,69220
143,pio_mpi_utils_pio_type_to_mpi_type_,270,330,340,340,300,320,230,190,360
144,box_rearrange_box_rearrange_io2comp_double_,985110,904600,165220,1236480,1098670,141490,57440,121030,806450
145,box_rearrange_find_io_comprank_,1870,2200,3840,7090,7970,10760,11980,12550,17410
146,box_rearrange_gindex_to_coord_,2362330,1405950,598270,283330,199360,124360,92650,82240,70340
147,box_rearrange_find_ioproc_,9256030,7430200,3767090,2813020,2336980,2055310,1640650,1602610,1475170
148,box_rearrange_compute_dest_,7617770,4428890,1789820,1958210,588610,477790,1471500,262500,1011500
149,box_rearrange_box_rearrange_create_,725040,2146970,432430,993810,2817110,2563530,969320,1978780,119950
150,box_rearrange_compute_counts_,10687220,21151890,1414960,807880,1186820,451420,19947240,339250,1557710
151,rearrange_rearrange_io2comp_double_,477840,1008330,52730,448500,735990,27700,1791330,39500,20650
152,rearrange_rearrange_init__,460,490,410,440,500,560,480,380,380
153,rearrange_rearrange_create_box__,12820,9330,11850,10390,15230,8570,11150,18140,20830
