16,30,63,126,180,252,360,441,504
id,func_name,self_time1,self_time2,self_time3,self_time4,self_time5,self_time6,self_time7,self_time8,self_time9
69,esmf_timeintervalmod_timeintchecknormalized_,96840,141550,116150,110500,140780,142950,160870,149740,130120
70,esmf_timemod_esmf_timeget_,580100,591780,808920,536700,641900,662700,856420,581840,567460
71,esmf_timemod_esmf_timeset_,291000,260650,310100,281660,255580,298780,322350,265330,252290
72,esmf_timemod_esmf_timecopy_,349100,335890,335750,362730,334730,318340,443960,344260,341170
73,shr_file_mod_shr_file_freeunit_,2850,4720,2900,4370,3380,3110,3420,1670,1630
74,shr_file_mod_shr_file_setlogunit_,537030,428350,413790,276540,240510,253480,298820,196880,238190
75,shr_file_mod_shr_file_setloglevel_,206280,195200,234720,138680,101740,111320,226950,131740,176880
76,mct_mod_mct_avect_vecmult_,293403010,159982230,77954410,40014250,29128850,22246100,16543730,13769510,12613280
77,shr_orb_mod_shr_orb_params_,36330,16530,34940,1042660,1599950,24060,1324190,22010,1625610
78,shr_orb_mod_shr_orb_decl_,858950,505780,538360,389420,737010,801420,509290,591630,552580
79,perf_mod_t_barrierf_,943530,1371850,886620,679540,748950,693090,732220,516100,453210
80,seq_comm_mct_seq_comm_setptrs_,58490,40830,48870,49450,37480,37200,36840,39210,38390
81,esmf_alarmmod_esmf_alarmget_,616630,704070,805590,610400,686150,640740,866240,606430,652090
82,esmf_alarmmod_esmf_alarmisringing_,37050,48800,46020,38920,39670,45420,46920,41060,39820
83,esmf_clockmod_esmf_clockget_,787120,715720,797430,706270,778280,730010,954680,685900,663720
84,esmf_clockmod_esmf_clockgettimestep_,36140,39380,39940,85700,58330,78500,68090,52940,43110
85,normalize_basetime_,213910,225230,202260,220560,241490,313460,287210,233870,217250
86,normalize_time_,290030,310750,324030,265280,328430,312760,395180,324770,314980
87,normalize_timeint_,262050,290400,331180,287190,273060,272870,313270,279610,283230
88,timegetmonth_,1020920,2329230,878350,818400,968320,834050,1092450,778430,799860
89,timegetdayofmonth_,256460,247010,248360,271300,244730,249190,277180,248260,294970
90,timeaddmonths_,102660,1915590,98810,91050,191390,122020,199500,114370,137130
91,seccmp_,364680,363000,343580,317420,374140,385750,399250,357890,325460
92,c_esmc_basetimesum_,377540,363100,437600,328630,369280,365830,469030,327250,329340
93,c_esmc_basetimedec_,261180,284860,299090,256420,294440,355510,425210,299090,241650
94,c_esmc_basetimediff_,122490,157590,169010,136290,141930,133690,143160,129600,153890
95,shr_cal_mod_shr_cal_ymd2date_,48140,95780,96160,65570,52740,49220,108180,77350,69470
96,seq_io_mod_seq_io_getiosys_,3860,21758030,6330,3790,3920,2640,1850,2640,2660
97,seq_infodata_mod_seq_infodata_getdata_,376570,286150,320100,251900,230520,202050,265320,232120,230410
98,seq_cdata_mod_seq_cdata_setptrs_,329250,257760,221050,209180,171770,192220,205070,208880,213640
99,seq_timemgr_mod_seq_timemgr_eclockgetdata_,530080,526870,556950,557410,635040,647570,747340,552100,529990
100,seq_timemgr_mod_seq_timemgr_alarmison_,2219900,2611170,2221070,1911820,2061720,1944150,2097110,1879920,1819920
101,seq_timemgr_mod_seq_timemgr_etimeget_,296160,288640,375910,318180,311300,340820,384470,293860,306410
102,seq_timemgr_mod_seq_timemgr_eclockdateinsync_,70890,83470,103320,91880,81410,92250,116280,73280,91100
103,seq_timemgr_mod_seq_timemgr_esmfcodecheck_,342440,330060,364890,306260,348280,306900,453760,331880,331500
