16,30,44,56,68,80,104,116,128
id,func_name,self_time1,self_time2,self_time3,self_time4,self_time5,self_time6,self_time7,self_time8,self_time9
0,m_string_str2ch0__,1812080,1807800,1843990,1803340,1728680,1781660,1744490,1804020,1837180
1,m_string_ch12ch0__,1232550,1293500,1400990,1273140,1253800,1196280,1204910,1267810,1255710
2,m_string_initc__,4790400,4659290,4875940,4450570,4613970,4677370,4548250,4569260,4539950
3,m_string_initc1__,2145510,2060190,2034470,1978690,2010730,1967880,1962920,2023600,2207700
4,m_string_clean__,2211510,2128010,2052830,2091380,2077640,2070070,2063550,2084950,2087500
5,m_list_init__,6250410,6116640,6148100,5909480,6015480,5896860,6175410,6117320,6343820
6,m_list_clean__,392390,382050,278090,296780,314980,347380,302340,339880,333180
7,m_list_nitem__,729610,657810,748340,682730,606560,592020,707040,623840,719900
8,m_list_index__,5378940,5153790,5373760,5425710,5148030,5323550,5197600,5166090,5239220
9,m_list_indexstr__,1752540,1678840,1855130,1688680,1787190,1741440,1702370,1740790,1784940
10,m_list_get__,4424980,4316120,4754840,4184020,4343730,4338000,4240040,4338460,4403990
11,m_list_getsharedlistindices__,2169790,2092000,2051720,1990120,2173110,2095410,1949740,2090520,2057420
12,m_traceback_gentracebackstring1_,2705360,2706100,2474240,2515500,2662400,2525820,2449860,2489730,2551610
13,m_traceback_gentracebackstring2_,820,760,890,940,680,720,910,700,590
14,m_attrvect_lsize__,1595210,1426700,1457810,1422630,1394100,1357720,1341540,1172690,1481830
15,m_attrvect_zero__,13176430,7057670,5051270,4138310,3424640,2928890,2349390,2131180,2099840
16,m_attrvect_indexra__,1849050,1801230,1785910,1790320,1766640,1806330,1740230,1807900,1836880
17,m_attrvect_exportrattrdp__,15990,9200,6270,5750,2940,2590,2260,2440,2710
18,m_attrvect_rcopy__,28792950,15445250,10768260,8431530,7034770,6071250,4743910,4355110,3980430
19,m_attrvect_icopy__,285410,264340,235390,240000,281480,205310,247670,282460,270070
20,m_attrvect_copy__,554580,386090,447140,423200,476560,421760,377460,432920,496170
21,m_attrvect_avavsharedattrindexlist__,1335440,1152230,1100870,1106570,1108140,1035240,1014340,1042210,1054180
22,m_attrvect_sharedindicesonetype__,424150,314190,305470,279910,335000,287990,288850,301010,317090
23,m_attrvect_cleansharedindicesonetype__,178250,182260,166480,163170,153060,182480,174560,161900,154330
24,m_generalgrid_lsize__,960,1180,1990,1030,2420,1840,1130,760,1170
25,gptlstart_,525080,498960,515000,393650,520430,422250,503180,425400,451300
26,gptlstop_,828440,690140,722140,622190,698380,651530,633090,623520,610200
27,update_ll_hash,3050,3480,3160,3390,2890,2180,1740,2160,1940
28,update_parent_info,237400,416240,192760,194370,211050,236880,226360,220480,192290
29,update_ptr,133300,133990,130470,127580,132770,135900,140520,127530,125710
30,GPTLstart,751010,839300,906310,897400,856370,874950,878650,987730,965520
31,getentry,1060510,1091660,1049450,805890,1122520,974270,976710,828720,900450
32,update_stats,115620,100050,106240,106270,118240,86680,104890,113300,103270
33,GPTLstop,678100,587530,619670,622980,668350,609440,544430,594170,573970
34,utr_mpiwtime,444240,388600,428750,396970,401710,414150,440840,399930,395110
35,esmf_basetimemod_esmf_basetimesum_,487950,467980,437000,467210,513260,464470,459390,449860,465690
36,esmf_basetimemod_esmf_basetimedifference_,254250,233160,234150,246580,267680,218380,245250,237790,233980
37,esmf_timeintervalmod_esmf_timeintervalget_,128270,120720,126200,124480,124730,143930,138350,130070,131070
38,esmf_timeintervalmod_esmf_timeintervalset_,251390,246610,226400,227640,224240,206210,222060,215680,204180
39,esmf_timeintervalmod_esmf_timeintervalsum_,161470,160280,159820,160090,178790,158970,160610,161440,159210
40,esmf_timeintervalmod_timeintchecknormalized_,70210,83780,78570,91710,90190,70930,70040,78380,77920
41,esmf_timemod_esmf_timeget_,660980,635780,736990,609110,640830,611080,626740,660040,597680
42,esmf_timemod_esmf_timeset_,123740,111330,114780,114310,110870,108840,115980,112840,132770
43,esmf_timemod_esmf_timecopy_,337200,352430,334150,388490,304560,328990,363080,391700,435700
44,shr_file_mod_shr_file_setlogunit_,286500,253740,200890,195480,192370,190890,216860,192430,211990
45,shr_file_mod_shr_file_setloglevel_,159080,153360,161110,143280,135240,181140,169840,131920,156600
46,mct_mod_mct_avect_accum_,26836660,14052610,8618180,7128480,5795640,4806700,3390990,3283780,2796490
47,mct_mod_mct_avect_vecmult_,61087750,33870570,24386230,19633660,16714770,14685100,12142000,11147980,10476500
48,mct_mod_mct_avect_avg_,4810290,2499650,1803820,1482590,1191980,1021460,852800,805370,718090
49,shr_orb_mod_shr_orb_decl_,1626570,988940,1066790,844600,884740,614370,979300,763490,764680
50,perf_mod_t_barrierf_,199440,206180,158690,60080,66990,51470,61340,41440,60930
51,seq_comm_mct_seq_comm_setptrs_,213540,198220,201050,173550,186070,239870,266980,208070,237570
52,esmf_alarmmod_esmf_alarmget_,470320,500040,526720,521810,534110,497640,532470,530250,533870
53,esmf_alarmmod_esmf_alarmisringing_,9170,10750,29390,15690,11560,10000,10160,13610,42450
54,esmf_clockmod_esmf_clockget_,685490,682210,689050,579820,700450,611990,620980,601750,620020
55,esmf_clockmod_esmf_clockgettimestep_,23620,18480,18960,16700,16840,17260,17640,18130,18800
56,normalize_basetime_,288830,241310,288250,239930,262560,264030,271870,263040,245990
57,normalize_time_,273110,260210,275140,269210,279080,263700,280910,264290,258970
58,normalize_timeint_,312630,309390,309910,302240,308460,320570,302550,302250,302940
59,timegetmonth_,1228340,1182100,963290,932560,1160770,963350,951070,970640,1082800
60,timegetdayofmonth_,416560,428820,372700,365280,407690,385850,381830,423170,392160
61,timeaddmonths_,85540,83240,92270,83730,89670,85360,82580,82880,95370
62,seccmp_,500800,450060,466100,458270,457840,426850,505250,455290,476920
63,c_esmc_basetimesum_,173010,161820,164700,166450,168470,169840,161240,159490,185410
64,c_esmc_basetimedec_,158770,144650,150780,137980,138550,134530,135730,165440,139700
65,c_esmc_basetimediff_,128850,128250,126850,130210,126700,127100,128530,128620,127660
66,shr_cal_mod_shr_cal_ymd2date_,87960,90450,87310,88730,98200,84580,96140,98070,108650
67,seq_infodata_mod_seq_infodata_getdata_,473890,450130,492290,478160,425210,443390,548880,505870,539240
68,seq_cdata_mod_seq_cdata_setptrs_,416930,1761160,354300,320040,398200,298080,389740,354380,342710
69,seq_timemgr_mod_seq_timemgr_eclockgetdata_,474590,440820,443610,423110,412390,415620,461660,428530,493670
70,seq_timemgr_mod_seq_timemgr_alarmison_,1295660,1322410,1314350,1327250,1302060,1255300,1318380,1306610,1286670
