16,30,64,128,192,256,384,448,512
id,func_name,self_time1,self_time2,self_time3,self_time4,self_time5,self_time6,self_time7,self_time8,self_time9
0,m_mpif90_typedp__,34190,49270,55310,29290,24840,59940,53470,69720,62700
1,m_list_nitem__,249560,209010,250910,96160,87640,211010,184330,177760,189740
2,m_attrvect_lsize__,289930,314460,328930,407970,409120,536450,518250,461730,481010
3,m_rearranger_rearrange__,79665180,45232110,31143860,18699940,11529990,12349900,13820440,13745910,14677700
4,gptlstart_,277910,260930,274150,285300,296590,393440,391840,359060,396880
5,gptlstop_,266050,246210,304200,350930,313560,574090,907320,518590,768860
6,update_ll_hash,910,2020,2600,1540,1290,1730,2680,1960,2010
7,update_parent_info,279560,336100,250620,214270,296230,290230,406220,232210,1425790
8,update_ptr,141750,130570,145910,159160,141860,159400,169170,172680,171140
9,GPTLstart,679310,860060,867550,1023050,1018100,1103980,1063330,1004000,1097310
10,getentry,1019530,888100,1154120,844940,1049070,1337480,1599570,1187020,2658200
11,update_stats,76020,73890,103780,92070,91950,91360,153040,99080,127400
12,GPTLstop,401250,351330,442350,470010,453270,653800,777480,547970,643970
13,utr_mpiwtime,312460,320010,341220,351040,334390,463630,579360,454050,600800
14,shr_mpi_mod_shr_mpi_chkerr_,217680,182410,246860,183730,180160,209720,187020,215560,219750
15,shr_mpi_mod_shr_mpi_bcastl0_,228770,221260,310500,339890,331590,340870,275180,310910,252420
16,shr_mpi_mod_shr_mpi_bcastr0_,225280,209320,343520,190970,217220,277950,309540,232800,269060
17,perf_mod_t_barrierf_,76940,96610,83820,84950,76890,155120,181060,127470,157770
18,seq_comm_mct_seq_comm_setptrs_,179860,204270,182140,173390,169590,353000,405650,278430,342760
19,seq_infodata_mod_seq_infodata_exchange_,2301680,2733120,2577410,2209550,2218560,2751820,2401360,2507090,2591660
20,map_lndlnd_mct_map_ccc2xxx_mct_,169640,119720,182530,182740,201300,189650,125000,172450,203910
21,map_lndlnd_mct_map_xxx2ccc_mct_,126640,119260,138960,152110,138160,141090,150650,113160,119420
22,map_rofrof_mct_map_ccc2xxx_mct_,110000,128850,140750,145060,143660,119280,129770,118920,152780
23,ccsm_comp_mod_t_drvstartf_,1323690,1200400,1347520,1332620,1248720,1429970,1513300,1366870,1534420
24,ccsm_comp_mod_t_drvstopf_,529720,500570,599350,691530,676720,1234500,1721600,1136740,1603850
25,MPI_Irecv,2515390,4535760,7948290,3629760,5462670,3458200,3272380,2340510,1919210
26,MPI_Isend,22274640,20527810,26056360,32204990,35555750,15030760,15375830,15085600,12374540
27,MPI_Waitall,855070,663960,1025660,458440,690070,373910,393630,241020,236220
28,MPI_Waitany,4353457410,1402852010,3709877590,28065158820,49916157780,38429196180,46859036180,60593734600,56396323980
29,MPI_Bcast,22639840,37495900,32214830,254110750,713768260,470781080,1243349330,1031280310,1263443530
30,MPI_Comm_rank,228430,208040,252680,164570,153830,434050,322940,485490,395100
31,MPI_Comm_size,94340,89150,73690,78640,69290,129920,119160,137970,108470
32,MPI_Wtime,473990,425240,430980,529820,515490,673670,937770,659680,809540
33,mpi_bcast_,348300,416000,324650,303810,263300,358120,215820,329460,339940
34,mpi_comm_rank_,509650,427770,603050,319920,321010,605600,657670,668660,640540
35,mpi_comm_size_,317080,298490,356190,262440,222200,351270,451180,465990,448050
36,mpi_irecv_,893730,1442340,2548070,1372820,1838850,1376540,1257030,1072830,896720
37,mpi_isend_,1398510,2668810,4164270,3431540,6317790,1855490,2142950,3129150,1794980
38,mpi_waitall_,851480,946730,1246240,551050,614520,494260,405730,420440,406400
39,mpi_waitany_,2211770,5904280,19118120,11050120,15537100,11120720,7560640,5335890,4175800
