16,30,63,126,180,252,360,441,504
id,func_name,self_time1,self_time2,self_time3,self_time4,self_time5,self_time6,self_time7,self_time8,self_time9
0,m_string_str2ch0__,1242590,1358700,1441620,1252470,1463710,1340790,1321990,1213910,1240130
1,m_string_ch12ch0__,796080,703020,770990,727730,873680,707700,765820,743480,687360
2,m_string_initc__,2359860,3281690,2366610,20020060,2339460,2218700,2328580,2297030,2316500
3,m_string_initc1__,2078080,2317440,2671070,2120410,2079110,2008070,1997900,2214610,2066310
4,m_string_clean__,1226000,1286120,1449600,1452100,1489370,1358470,1373110,1458570,1340170
5,m_list_init__,5458470,6392060,5453320,5136340,5465560,4967100,5551530,5080690,5257450
6,m_list_clean__,395950,410400,496630,453870,527860,399100,492500,477620,395430
7,m_list_nitem__,238810,459810,440040,307550,312320,243930,335030,271410,258790
8,m_list_index__,2957070,2948260,3147730,3133660,3082810,2902940,2807510,2846440,2722280
9,m_list_get__,2491220,2526590,2537850,6448660,2450120,2403980,2426970,2477350,2397020
10,m_traceback_gentracebackstring1_,2624280,2798250,2787790,2611320,2717990,2538940,2592850,2616090,2568640
11,m_attrvect_lsize__,877770,947490,1324040,899340,1251350,917990,1060060,866570,919930
12,m_attrvect_indexra__,1905160,1972580,2191890,2138180,2165640,1991930,2027900,2165250,2059470
13,pio_support_checkmpireturn_,46070,83050,72400,102840,80900,65780,105900,77650,91600
14,alloc_mod_alloc_check_1d_long_,29700,33130,29710,38550,28420,28380,29030,27210,30710
15,alloc_mod_alloc_check_1d_int_,33830,31890,33530,34610,33640,38240,60000,50630,66670
16,alloc_mod_alloc_check_1d_double_,22570,21030,22290,23970,22750,28270,48990,45650,56000
17,alloc_mod_dealloc_check_1d_long_,10010,13457700,11600,15170,19480,22070,38130,34990,49350
18,alloc_mod_dealloc_check_1d_int_,15400,12110,12230,13230,18570,10810,13670,13090,17230
19,alloc_mod_dealloc_check_1d_double_,6690,5610,6940,9360,8940,9420,11720,13100,20620
20,pio_utils_check_netcdf_,50040,45160,51050,50530,53290,79430,95790,81420,116230
21,ionf_mod_create_nf_,440,430,420,1800,610,600,1690,720,440
22,ionf_mod_close_nf_,210,560,250,240,290,210,180,240,380
23,nf_mod_inq_varid_vid_,9500,12310,11970,13240,12190,15200,25860,21830,26850
24,nf_mod_inq_varid_vardesc_,16030,17310,15750,17120,22430,28030,41930,34660,56200
25,nf_mod_inq_varndims_vid_,12710,15370,14130,15980,13650,18650,23100,22480,22880
26,nf_mod_pio_enddef_,780,440,770,570,760,460,430,580,590
27,nf_mod_pio_def_dim_,2410,1970,2200,1930,2840,2430,2900,2790,2580
28,nf_mod_def_var_md_,12160,11380,10840,11630,12490,16520,19530,20430,19950
29,pionfwrite_mod_write_nfdarray_double_,7310,6810,7930,8760,7930,8820,16220,13000,19280
30,pio_mpi_utils_pio_type_to_mpi_type_,290,390,530,470,640,620,550,490,1310
31,box_rearrange_box_rearrange_comp2io_double_,67570,1359250,118410,164280,151200,114180,177940,124750,137670
32,box_rearrange_find_io_comprank_,10040,18290,16460,23480,18640,13280,27840,19490,31650
33,box_rearrange_gindex_to_coord_,4232910,2229140,1100730,555960,383770,269510,191360,160640,133800
34,box_rearrange_find_ioproc_,14629890,8597270,5918660,4328680,1752730,1258900,862000,715890,625870
35,box_rearrange_compute_dest_,13202970,7158170,3363920,1715360,1362270,867720,632740,510600,451410
36,box_rearrange_box_rearrange_create_,564290,319830,1718870,3806440,99080,59700,7319370,54240,47150
37,box_rearrange_compute_counts_,29253940,44190110,13874440,3963340,642520,463320,927620,328330,294880
38,box_rearrange_box_rearrange_free_,4290,859600,7390,2962770,8700,7590,7804770,6760,7550
39,rearrange_rearrange_comp2io_double_,7910,5630,6120,7520,6860,6920,6490,8800,11040
40,rearrange_rearrange_create_box__,1440,970,30580,6880,1330,820,1930560,1220,1260
41,rearrange_rearrange_free__,690,1210,1070,1460,2080,1030,1080,880,800
42,piolib_mod_seterrorhandlingi_,630,680,4150,1030,980,960,1120,4880,4730
43,piolib_mod_pio_initdecomp_dof_,25817610,4100,3481480,4706540,5590,5300,13344200,6260,5420
44,piolib_mod_dupiodesc2_,270,130,260,230,190,380,580,370,520
45,piolib_mod_createfile_,2640,1920,2730,1790,2000,1790,1350,1470,1180
46,piolib_mod_freedecomp_ios_,1860,1620,1420,2140,1360,1670,1390,1630,1610
47,piolib_mod_closefile_,1290,2520,1970,1440,4540,2040,1180,1190,4090
48,piodarray_write_darray_1d_double_,7360,8070,8550,10150,10440,11990,16980,12720,17510
49,piodarray_write_darray_3d_double_,3992070,2397450,1095530,617660,741870,365420,672080,280850,258390
50,piodarray_write_darray_4d_double_,16232080,14910520,4444570,2366190,3023750,1315140,2381330,926990,852210
51,piodarray_write_darray_nf_double_,46560,10896300,43590,47600,44490,56550,65690,64380,83800
52,pionfatt_mod_put_att_double_,1230,1090,1460,1390,2010,2820,1510,1470,2820
53,pionfatt_mod_put_att_int_,2190,2000,1560,1240,1180,2450,1960,2310,3020
54,gptlstart_,17186550,16682880,15775350,14655980,14130330,15999050,22711010,17494830,17873530
55,gptlstop_,17546530,17804270,17635460,15493450,14861670,21662140,29738900,28044860,27097260
56,update_ll_hash,4400,4880,7530,3770,5860,3240,6380,6510,8580
57,update_parent_info,418430,371510,635040,493310,504940,395750,405120,308620,331030
58,update_ptr,158760,182910,261670,192860,191790,159630,164240,195490,159910
59,GPTLstart,6210320,6480740,6416250,5693710,6084180,5006720,7533230,6780510,5834340
60,getentry,1227830,1013050,1623130,1668740,1507030,953150,863360,906730,843600
61,update_stats,183510,207060,162690,190350,168780,164300,184380,141900,103470
62,GPTLstop,12811930,12043130,12225020,11727570,11063320,14776180,20392960,17716690,18344430
63,utr_mpiwtime,11180920,11240090,11076050,10610600,10491610,10518760,16846960,12688560,11988330
64,esmf_basetimemod_esmf_basetimesum_,390870,422620,505150,499660,478110,403840,440070,436800,351770
65,esmf_basetimemod_esmf_basetimedifference_,169120,164910,171310,207070,213700,182340,220490,186410,159860
66,esmf_timeintervalmod_esmf_timeintervalget_,177240,157800,242080,236430,197010,143260,173800,144140,115020
67,esmf_timeintervalmod_esmf_timeintervalset_,310220,410730,508170,475730,479250,318620,343980,342220,314960
68,esmf_timeintervalmod_esmf_timeintervalsum_,241760,238090,278750,277120,235480,234800,237990,214750,187450
69,esmf_timeintervalmod_timeintchecknormalized_,198060,180390,250870,137370,199090,138950,118570,148070,102680
70,esmf_timemod_esmf_timeget_,651800,650920,891030,19891550,943380,618000,606740,621830,465320
71,esmf_timemod_esmf_timeset_,299710,361130,413670,342010,410100,250770,286770,314220,224760
72,esmf_timemod_esmf_timecopy_,383070,378720,577090,432060,542330,349220,389790,426730,297170
73,shr_file_mod_shr_file_freeunit_,4920,3470,5020,3230,5850,3200,3130,3150,3550
74,shr_file_mod_shr_file_setlogunit_,518900,493540,689280,402620,414040,318040,358840,384380,233970
75,shr_file_mod_shr_file_setloglevel_,218990,301640,325570,281060,242090,164740,178290,228160,147630
76,mct_mod_mct_avect_vecmult_,292538530,158444300,79606140,41967270,29598640,21743680,16359450,14048350,12675510
77,perf_mod_t_barrierf_,998950,1423640,1699910,1063900,1058760,1063670,2553420,1698670,1538760
78,seq_comm_mct_seq_comm_setptrs_,57140,46510,48750,49640,44510,45880,54510,52110,80380
79,esmf_alarmmod_esmf_alarmget_,662220,772010,1015710,892590,927560,667660,729880,724230,614080
80,esmf_alarmmod_esmf_alarmisringing_,56790,39780,77600,50560,66850,34340,34990,42420,30980
81,shr_orb_mod_shr_orb_params_,36420,27310,35860,7150,123410,31180,56000,36150,19380
82,shr_orb_mod_shr_orb_decl_,902040,554060,647550,527100,583010,454670,669000,692880,480510
83,esmf_clockmod_esmf_clockget_,812490,836560,1056120,932090,1029380,666000,725850,722230,581880
84,esmf_clockmod_esmf_clockgettimestep_,39460,67480,61550,116810,82710,63420,64390,61880,42290
85,normalize_basetime_,220930,259730,385590,324030,304280,252570,244090,254150,196160
86,normalize_time_,313610,361620,412110,416670,368960,288440,332070,339690,259010
87,normalize_timeint_,288880,338380,391810,325070,374020,305590,320680,309570,263620
88,timegetmonth_,1014010,1091160,1233540,944360,946480,888450,946730,893400,812270
89,timegetdayofmonth_,290640,293220,332630,322960,350210,265880,287700,294760,266260
90,timeaddmonths_,148320,157020,123000,113170,187070,107810,119290,124110,95010
91,seccmp_,381840,381180,488680,450410,467990,405340,374520,379650,310780
92,c_esmc_basetimesum_,458110,482630,555000,383000,561960,370950,380380,447490,313180
93,c_esmc_basetimedec_,291000,293170,455330,415530,398120,296280,307440,310770,221620
94,c_esmc_basetimediff_,113750,160690,203320,262850,170570,123160,136290,161390,132770
95,shr_cal_mod_shr_cal_ymd2date_,56770,104510,150720,162630,168060,65210,85400,89600,57220
96,seq_io_mod_seq_io_getiosys_,7020,4870,3070,3130,1920,3100,2260,1970,2250
97,seq_infodata_mod_seq_infodata_getdata_,367280,385590,333520,234460,436910,275800,304020,325110,291470
98,seq_cdata_mod_seq_cdata_setptrs_,251650,290660,393030,283420,334270,266320,420830,301390,412900
99,seq_timemgr_mod_seq_timemgr_eclockgetdata_,625340,557500,813700,742080,810790,589090,671720,567700,487870
100,seq_timemgr_mod_seq_timemgr_alarmison_,2306050,2361620,2427020,2106320,2500900,1900770,2130550,2078810,1905160
101,seq_timemgr_mod_seq_timemgr_etimeget_,294300,310780,557560,465720,417660,340060,343930,338630,273170
102,seq_timemgr_mod_seq_timemgr_eclockdateinsync_,97440,100680,188540,7929090,155940,85820,112580,111120,73940
103,seq_timemgr_mod_seq_timemgr_esmfcodecheck_,359830,437020,578100,520540,516960,333770,390260,383820,273180
104,ice_fileunits_release_all_fileunits_,2090,1870,2100,9420,1930,1760,1780,1760,1940
105,ice_atmo_atmo_boundary_layer_,710258380,421428050,16764650,8257800,72158820,5238150,43378390,4021500,4286500
106,ice_blocks_get_block_,11833220,14868520,17314940,13602980,13590090,10718920,17647290,15520900,13264860
107,ice_calendar_calendar_,692860,710370,3997550,639600,681870,666010,521990,430080,446480
